 time            v(final_out)   
 3.65716793e-09  6.34640590e-01 
 3.66716793e-09  6.34637107e-01 
 3.67716793e-09  6.34633501e-01 
 3.68716793e-09  6.34629765e-01 
 3.69716793e-09  6.34625898e-01 
 3.70716793e-09  6.34621896e-01 
 3.71716793e-09  6.34617754e-01 
 3.72716793e-09  6.34613468e-01 
 3.73716793e-09  6.34609035e-01 
 3.74716793e-09  6.34604450e-01 
 3.75716793e-09  6.34599710e-01 
 3.76716793e-09  6.34594809e-01 
 3.77716793e-09  6.34589744e-01 
 3.78716793e-09  6.34584510e-01 
 3.79716793e-09  6.34579103e-01 
 3.80716793e-09  6.34573518e-01 
 3.81716793e-09  6.34567750e-01 
 3.82716793e-09  6.34561795e-01 
 3.83716793e-09  6.34555648e-01 
 3.84716793e-09  6.34549305e-01 
 3.85716793e-09  6.34542760e-01 
 3.86716793e-09  6.34536009e-01 
 3.87716793e-09  6.34529046e-01 
 3.88716793e-09  6.34521867e-01 
 3.89716793e-09  6.34514465e-01 
 3.90716793e-09  6.34506836e-01 
 3.91716793e-09  6.34498974e-01 
 3.92716793e-09  6.34490874e-01 
 3.93716793e-09  6.34482530e-01 
 3.94716793e-09  6.34473937e-01 
 3.95716793e-09  6.34465089e-01 
 3.96716793e-09  6.34455981e-01 
 3.97716793e-09  6.34446607e-01 
 3.98716793e-09  6.34436961e-01 
 3.99716793e-09  6.34427037e-01 
 4.00716793e-09  6.34416831e-01 
 4.01716793e-09  6.34406334e-01 
 4.02716793e-09  6.34395543e-01 
 4.03716793e-09  6.34384449e-01 
 4.04716793e-09  6.34373048e-01 
 4.05716793e-09  6.34361333e-01 
 4.06716793e-09  6.34349297e-01 
 4.07716793e-09  6.34336935e-01 
 4.08716793e-09  6.34324240e-01 
 4.09716793e-09  6.34311206e-01 
 4.10716793e-09  6.34297827e-01 
 4.11716793e-09  6.34284097e-01 
 4.12716793e-09  6.34270009e-01 
 4.13716793e-09  6.34255558e-01 
 4.14716793e-09  6.34240735e-01 
 4.15716793e-09  6.34225536e-01 
 4.16716793e-09  6.34209954e-01 
 4.17716793e-09  6.34193982e-01 
 4.18716793e-09  6.34177613e-01 
 4.19716793e-09  6.34160841e-01 
 4.20716793e-09  6.34143659e-01 
 4.21716793e-09  6.34126062e-01 
 4.22716793e-09  6.34108042e-01 
 4.23716793e-09  6.34089594e-01 
 4.24716793e-09  6.34070710e-01 
 4.25716793e-09  6.34051386e-01 
 4.26716793e-09  6.34031615e-01 
 4.27716793e-09  6.34011391e-01 
 4.28716793e-09  6.33990707e-01 
 4.29716793e-09  6.33969557e-01 
 4.30716793e-09  6.33947936e-01 
 4.31716793e-09  6.33925836e-01 
 4.32716793e-09  6.33903252e-01 
 4.33716793e-09  6.33880177e-01 
 4.34716793e-09  6.33856607e-01 
 4.35716793e-09  6.33832534e-01 
 4.36716793e-09  6.33807953e-01 
 4.37716793e-09  6.33782860e-01 
 4.38716793e-09  6.33757248e-01 
 4.39716793e-09  6.33731113e-01 
 4.40716793e-09  6.33704450e-01 
 4.41716793e-09  6.33677253e-01 
 4.42716793e-09  6.33649518e-01 
 4.43716793e-09  6.33621240e-01 
 4.44716793e-09  6.33592413e-01 
 4.45716793e-09  6.33563033e-01 
 4.46716793e-09  6.33533096e-01 
 4.47716793e-09  6.33502597e-01 
 4.48716793e-09  6.33471531e-01 
 4.49716793e-09  6.33439896e-01 
 4.50716793e-09  6.33407686e-01 
 4.51716793e-09  6.33374900e-01 
 4.52716793e-09  6.33341534e-01 
 4.53716793e-09  6.33307585e-01 
 4.54716793e-09  6.33273051e-01 
 4.55716793e-09  6.33237929e-01 
 4.56716793e-09  6.33202216e-01 
 4.57716793e-09  6.33165910e-01 
 4.58716793e-09  6.33129010e-01 
 4.59716793e-09  6.33091513e-01 
 4.60716793e-09  6.33053417e-01 
 4.61716793e-09  6.33014721e-01 
 4.62716793e-09  6.32975423e-01 
 4.63716793e-09  6.32935524e-01 
 4.64716793e-09  6.32895024e-01 
 4.65716793e-09  6.32853921e-01 
 4.66716793e-09  6.32812218e-01 
 4.67716793e-09  6.32769915e-01 
 4.68716793e-09  6.32727013e-01 
 4.69716793e-09  6.32683513e-01 
 4.70716793e-09  6.32639418e-01 
 4.71716793e-09  6.32594728e-01 
 4.72716793e-09  6.32549446e-01 
 4.73716793e-09  6.32503575e-01 
 4.74716793e-09  6.32457115e-01 
 4.75716793e-09  6.32410072e-01 
 4.76716793e-09  6.32362448e-01 
 4.77716793e-09  6.32314247e-01 
 4.78716793e-09  6.32265475e-01 
 4.79716793e-09  6.32216136e-01 
 4.80716793e-09  6.32166236e-01 
 4.81716793e-09  6.32115782e-01 
 4.82716793e-09  6.32064779e-01 
 4.83716793e-09  6.32013235e-01 
 4.84716793e-09  6.31961156e-01 
 4.85716793e-09  6.31908550e-01 
 4.86716793e-09  6.31855424e-01 
 4.87716793e-09  6.31801785e-01 
 4.88716793e-09  6.31747643e-01 
 4.89716793e-09  6.31693006e-01 
 4.90716793e-09  6.31637884e-01 
 4.91716793e-09  6.31582286e-01 
 4.92716793e-09  6.31526224e-01 
 4.93716793e-09  6.31469709e-01 
 4.94716793e-09  6.31412753e-01 
 4.95716793e-09  6.31355368e-01 
 4.96716793e-09  6.31297568e-01 
 4.97716793e-09  6.31239365e-01 
 4.98716793e-09  6.31180773e-01 
 4.99358396e-09  6.31143736e-01 
 5.00000000e-09  6.31108621e-01 
